Disease,Drug
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Methemoglobinemia,methylene blue
Acromegaly,bromocriptine
Acromegaly,octreotide
Acromegaly,pegvisomant
Acromegaly,lanreotide
Acromegaly,pasireotide
Erythromelalgia,gabapentin
Actinic Keratosis,fluorouracil
Actinic Keratosis,aminolevulinic acid
Actinic Keratosis,ingenol
Actinomycosis,amoxicillin
Actinomycosis,doxycycline
Actinomycosis,minocycline
Actinomycosis,penicillin g sodium
Actinomycosis,penicillin g potassium
Asthma,albuterol
Asthma,prednisolone
Asthma,methylprednisolone
Asthma,epinephrine
Asthma,hydrocortisone
Asthma,theophylline
Asthma,dexamethasone
Asthma,levalbuterol
Asthma,terbutaline
Urinary Tract Infection,ciprofloxacin
Urinary Tract Infection,nitrofurantoin
Urinary Tract Infection,sulfamethoxazole / trimethoprim
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,doxycycline
Urinary Tract Infection,levofloxacin
Urinary Tract Infection,ceftriaxone
Urinary Tract Infection,amoxicillin / clavulanate
Urinary Tract Infection,cefuroxime
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,methenamine
Urinary Tract Infection,ampicillin
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Coronary Syndrome,clopidogrel
Acute Coronary Syndrome,ticagrelor
Acute Coronary Syndrome,prasugrel
Acute Coronary Syndrome,enoxaparin
Acute Coronary Syndrome,eptifibatide
Acute Coronary Syndrome,tirofiban
"Acute Coronary Syndrome, Prophylaxis",clopidogrel
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Porphyria,chlorpromazine
Porphyria,hemin
Porphyria,givosiran
Acute Lymphoblastic Leukemia,methotrexate
Acute Lymphoblastic Leukemia,mercaptopurine
Acute Lymphoblastic Leukemia,dasatinib
Acute Lymphoblastic Leukemia,pegaspargase
Acute Lymphoblastic Leukemia,doxorubicin
Acute Lymphoblastic Leukemia,imatinib
Acute Lymphoblastic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphoblastic Leukemia,ponatinib
Acute Lymphoblastic Leukemia,vincristine liposome
Acute Lymphoblastic Leukemia,blinatumomab
Acute Myeloblastic Leukemia,doxorubicin
Acute Nonlymphocytic Leukemia,isotretinoin
Acute Nonlymphocytic Leukemia,methotrexate
Acute Nonlymphocytic Leukemia,thioguanine
Acute Nonlymphocytic Leukemia,mitoxantrone
Acute Nonlymphocytic Leukemia,cyclophosphamide
Acute Nonlymphocytic Leukemia,daunorubicin
Acute Nonlymphocytic Leukemia,cytarabine
Acute Otitis Externa,ofloxacin
Acute Otitis Externa,ciprofloxacin
Acute Otitis Externa,ciprofloxacin / hydrocortisone
Acute Otitis Externa,dexamethasone
Acute Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Acute Promyelocytic Leukemia,tretinoin
Acute Promyelocytic Leukemia,arsenic trioxide
Respiratory Distress Syndrome,beractant
Respiratory Distress Syndrome,poractant
Respiratory Distress Syndrome,calfactant
Sinusitis,amoxicillin
Sinusitis,prednisone
Sinusitis,amoxicillin / clavulanate
Sinusitis,cefdinir
Sinusitis,azithromycin
Sinusitis,levofloxacin
Sinusitis,cefuroxime
Sinusitis,clarithromycin
Sinusitis,ciprofloxacin
Sinusitis,clindamycin
Sinusitis,sulfamethoxazole / trimethoprim
Sinusitis,moxifloxacin
Anxiety and Stress,sertraline
Anxiety and Stress,citalopram
Anxiety and Stress,fluoxetine
Anxiety and Stress,amitriptyline
Anxiety and Stress,venlafaxine
Anxiety and Stress,paroxetine
Anxiety and Stress,prazosin
Anxiety and Stress,fluvoxamine
Adenosine Deaminase Deficiency,pegademase bovine
Adenosine Deaminase Deficiency,elapegademase
Adams-Stokes Syndrome,epinephrine
Adams-Stokes Syndrome,ephedrine
Adams-Stokes Syndrome,isoproterenol
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Addison's Disease,hydrocortisone
Addison's Disease,fludrocortisone
Addison's Disease,dexamethasone
Renal Cell Carcinoma,pazopanib
Renal Cell Carcinoma,sunitinib
Renal Cell Carcinoma,axitinib
Renal Cell Carcinoma,nivolumab
Renal Cell Carcinoma,sorafenib
Renal Cell Carcinoma,everolimus
Renal Cell Carcinoma,bevacizumab
Renal Cell Carcinoma,cabozantinib
Renal Cell Carcinoma,medroxyprogesterone
Renal Cell Carcinoma,aldesleukin
Renal Cell Carcinoma,capecitabine
Renal Cell Carcinoma,temsirolimus
Renal Cell Carcinoma,lenvatinib
Adenovirus Prophylaxis,adenovirus vaccine
Frozen Shoulder,diclofenac
Frozen Shoulder,ibuprofen
Frozen Shoulder,naproxen
Frozen Shoulder,nabumetone
Frozen Shoulder,piroxicam
Frozen Shoulder,indomethacin
Frozen Shoulder,triamcinolone
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Adjunct to Antibiotic Therapy,probenecid
Polycystic Kidney Disease,enalapril
Polycystic Kidney Disease,lisinopril
Polycystic Kidney Disease,captopril
Adrenal Cortical Carcinoma,mitotane
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenocortical Insufficiency,hydrocortisone
Adrenocortical Insufficiency,prednisone
Adrenocortical Insufficiency,dexamethasone
Adrenocortical Insufficiency,triamcinolone
Adrenocortical Insufficiency,cosyntropin
Adrenogenital Syndrome,fludrocortisone
Adrenogenital Syndrome,prednisone
Adrenogenital Syndrome,dexamethasone
Adrenogenital Syndrome,methylprednisolone
Adult Human Growth Hormone Deficiency,somatropin
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Aggressive Behavior,haloperidol
Agitated State,aripiprazole
Agitated State,olanzapine
Agitated State,loxapine
Agitation,risperidone
Agitation,olanzapine
Agitation,citalopram
Agitation,amitriptyline / perphenazine
Agitation,loxapine
Myelofibrosis,ruxolitinib
Myelofibrosis,fedratinib
Agoraphobia,fluoxetine
Neutropenia,filgrastim
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
Akathisia,propranolol
Alcohol Dependence,naltrexone
Alcohol Dependence,acamprosate
Alcohol Dependence,disulfiram
Alcohol Dependence,ondansetron
Alcoholism,gabapentin enacarbil
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Vaginal pH Imbalance,hydroxyquinoline
Alkalosis,ammonium chloride
Allergic Asthma,terbutaline
Allergic Asthma,salmeterol
"Conjunctivitis, Allergic",ketotifen
"Conjunctivitis, Allergic",azelastine
"Conjunctivitis, Allergic",cromolyn
"Conjunctivitis, Allergic",prednisone
"Conjunctivitis, Allergic",prednisolone
"Conjunctivitis, Allergic",epinastine
"Conjunctivitis, Allergic",nedocromil
"Conjunctivitis, Allergic",bepotastine
"Conjunctivitis, Allergic",cetirizine
"Conjunctivitis, Allergic",alcaftadine
"Conjunctivitis, Allergic",carbinoxamine
"Conjunctivitis, Allergic",doxylamine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Allergic Reactions,diphenhydramine
Allergic Reactions,prednisone
Allergic Reactions,loratadine
Allergic Reactions,epinephrine
Allergic Reactions,chlorpheniramine
Allergic Reactions,promethazine
Allergic Reactions,triamcinolone
Allergic Reactions,cyproheptadine
Allergic Rhinitis,cetirizine
Allergic Rhinitis,loratadine
Allergic Rhinitis,fluticasone
Allergic Rhinitis,montelukast
Allergic Rhinitis,fexofenadine
Allergic Rhinitis,azelastine
Allergic Rhinitis,diphenhydramine
Allergic Rhinitis,prednisone
Allergic Rhinitis,levocetirizine
Allergic Urticaria,hydroxyzine
Allergic Urticaria,famotidine
Allergic Urticaria,triprolidine
Allergic Urticaria,carbinoxamine
Allergic Urticaria,tetracaine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine / ibuprofen / phenylephrine
Allergies,dexbrompheniramine / phenylephrine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Thalassemia,hydroxyurea
Thalassemia,deferasirox
Thalassemia,deferiprone
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Soft Tissue Sarcoma,pazopanib
Soft Tissue Sarcoma,doxorubicin
Soft Tissue Sarcoma,methotrexate
Soft Tissue Sarcoma,trabectedin
Soft Tissue Sarcoma,olaratumab
Alzheimer's Disease,donepezil
Alzheimer's Disease,memantine
Alzheimer's Disease,galantamine
Alzheimer's Disease,rivastigmine
Alzheimer's Disease,vitamin e
Alzheimer's Disease,donepezil / memantine
Alzheimer's Disease,ergoloid mesylates
Alzheimer's Disease,etanercept
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amyloid Cardiomyopathy,tafamidis
Amyloidogenic Transthyretin Amyloidosis,inotersen
Amyloidogenic Transthyretin Amyloidosis,patisiran
Amyloidosis,colchicine
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
Anal Cancer,capecitabine
Anal Cancer,fluorouracil
Anal Cancer,mitomycin
Anal Cancer,cisplatin
Anal Fissure and Fistula,nitroglycerin
Anal Itching,hydrocortisone
Anal Itching,clobetasol
Anal Itching,lidocaine
Anal Itching,zinc oxide
Anal Itching,benzocaine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaplastic Astrocytoma,temozolomide
Anaplastic Astrocytoma,procarbazine
Anaplastic Oligodendroglioma,temozolomide
Anaplastic Oligodendroglioma,vincristine
Anaplastic Oligodendroglioma,lomustine
Anaplastic Oligodendroglioma,procarbazine
Thyroid Cancer,thyroid desiccated
Thyroid Cancer,sodium iodide-i-131
Thyroid Cancer,sorafenib
Thyroid Cancer,lenvatinib
Thyroid Cancer,doxorubicin
Thyroid Cancer,cabozantinib
Thyroid Cancer,thyrotropin alpha
Thyroid Cancer,vandetanib
Thyroid Cancer,dabrafenib
Thyroid Cancer,trametinib
Hookworm Infection (Necator or Ancylostoma),mebendazole
Hookworm Infection (Necator or Ancylostoma),albendazole
Hookworm Infection (Necator or Ancylostoma),pyrantel
Cutaneous Larva Migrans,ivermectin
Cutaneous Larva Migrans,albendazole
Androgenetic Alopecia,finasteride
Androgenetic Alopecia,ketoconazole
Anemia,epoetin alfa
Anemia,multivitamin with iron
Anemia,pyridoxine
Anemia,oxymetholone
Anemia,lenalidomide
Anemia Associated with Chronic Renal Failure,ferrous sulfate
Anemia Associated with Chronic Renal Failure,epoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous fumarate
Anemia Associated with Chronic Renal Failure,darbepoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous gluconate
Anemia Associated with Chronic Renal Failure,epoetin beta-methoxy polyethylene glycol
Anemia Associated with Iron Deficiency,ferrous fumarate / folic acid
"Anemia, Drug Induced",epoetin alfa
Anemia Prior to Surgery,epoetin alfa
"Anemia, Chemotherapy Induced",epoetin alfa
"Anemia, Chemotherapy Induced",darbepoetin alfa
Iron Deficiency Anemia,ferrous sulfate
Iron Deficiency Anemia,ferrous gluconate
Iron Deficiency Anemia,ferrous fumarate
Iron Deficiency Anemia,iron polysaccharide
Iron Deficiency Anemia,ferumoxytol
Iron Deficiency Anemia,iron sucrose
"Anemia, Megaloblastic",folic acid
"Anemia, Megaloblastic",leucovorin
"Anemia, Sickle Cell",hydroxyurea
"Anemia, Sickle Cell",vitamin e
"Anemia, Sickle Cell",glutamine
"Anemia, Sickle Cell",crizanlizumab
Anesthesia,propofol
Anesthesia,lidocaine
Anesthesia,fentanyl
Anesthesia,lidocaine / prilocaine
Anesthesia,ketamine
Anesthesia,succinylcholine
Anesthesia,glycopyrrolate
Anesthesia,rocuronium
Anesthesia,etomidate
Anesthesia,vecuronium
Anesthesia,hyoscyamine
Anesthesia,cisatracurium
Anesthetic Adjunct,hydromorphone
Anesthetic Adjunct,fentanyl
Anesthetic Adjunct,atracurium
Anesthetic Adjunct,butorphanol
Anesthetic Adjunct,methohexital
Angina Pectoris Prophylaxis,isosorbide mononitrate
Angina Pectoris Prophylaxis,aspirin
Angina Pectoris Prophylaxis,metoprolol
Angina Pectoris Prophylaxis,nitroglycerin
Angina Pectoris Prophylaxis,diltiazem
Angina Pectoris Prophylaxis,bisoprolol
Angina Pectoris Prophylaxis,isosorbide dinitrate
Angina Pectoris Prophylaxis,nifedipine
Angina Pectoris Prophylaxis,atenolol
Angioblastoma,interferon alfa-2b
Angiocardiography,iohexol
Angioedema,danazol
Magnetic Resonance Angiography,gadobenate dimeglumine
Peripheral Angiography,iohexol
Renal Angiomyolipoma,everolimus
Angiostrongylosis,mebendazole
Edema,furosemide
Edema,hydrochlorothiazide
Edema,spironolactone
Edema,bumetanide
Edema,metolazone
Edema,torsemide
Edema,hydrochlorothiazide / triamterene
Edema,hydrochlorothiazide / spironolactone
Edema,triamterene
Edema,chlorthalidone
Edema,pamabrom
Edema,acetazolamide
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen
Diffuse Idiopathic Skeletal Hyperostosis,naproxen
Ankylosing Spondylitis,diclofenac
Ankylosing Spondylitis,prednisone
Ankylosing Spondylitis,naproxen
Ankylosing Spondylitis,indomethacin
Ankylosing Spondylitis,celecoxib
Ankylosing Spondylitis,adalimumab
Ankylosing Spondylitis,aspirin
Ankylosing Spondylitis,etanercept
Ankylosing Spondylitis,sulindac
Ankylosing Spondylitis,infliximab
Anorexia,cyproheptadine
Anorexia,megestrol
Anorexia,dronabinol
Anorexia,olanzapine
Anorexia Nervosa,olanzapine
Anorexia Nervosa,cyproheptadine
Anorexia/Feeding Problems,fluvoxamine
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax Prophylaxis,amoxicillin
Anthrax Prophylaxis,levofloxacin
Anthrax Prophylaxis,ciprofloxacin
Anthrax Prophylaxis,doxycycline
Anthrax Prophylaxis,moxifloxacin
Anthrax Prophylaxis,anthrax vaccine adsorbed
Anthrax Prophylaxis,ofloxacin
Anti NMDA Receptor Encephalitis,immune globulin intravenous
Ethylene Glycol Poisoning,fomepizole
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Anticholinergic Syndrome,physostigmine
Anticholinesterase Overdose,pralidoxime
Anticholinesterase Poisoning,atropine
Anticoagulation During Pregnancy,heparin
"Sexual Dysfunction, SSRI Induced",buspirone
"Sexual Dysfunction, SSRI Induced",sildenafil
"Sexual Dysfunction, SSRI Induced",bupropion
"Sexual Dysfunction, SSRI Induced",dextroamphetamine
"Sexual Dysfunction, SSRI Induced",cyproheptadine
"Sexual Dysfunction, SSRI Induced",amantadine
Antiphospholipid Syndrome,warfarin
Antiphospholipid Syndrome,aspirin
Antiphospholipid Syndrome,heparin
Antithrombin III Deficiency,antithrombin iii
Antithrombin III Deficiency,antithrombin (recombinant)
Anxiety,clonazepam
Anxiety,alprazolam
Anxiety,lorazepam
Anxiety,buspirone
Anxiety,hydroxyzine
Anxiety,diazepam
Anxiety,escitalopram
Anxiety,gabapentin
Anxiety,propranolol
Anxiety,trazodone
Anxiety,bupropion
Anxiety,clonidine
Anxiety,venlafaxine
Anxiety,duloxetine
Anxiety,paroxetine
Anxiety,mirtazapine
Generalized Anxiety Disorder,escitalopram
Generalized Anxiety Disorder,quetiapine
Generalized Anxiety Disorder,sertraline
Generalized Anxiety Disorder,citalopram
Generalized Anxiety Disorder,pregabalin
Generalized Anxiety Disorder,venlafaxine
Generalized Anxiety Disorder,duloxetine
Generalized Anxiety Disorder,paroxetine
Aortic Aneurysm,metoprolol
Aortic Stenosis,propranolol
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
Aortography,iodixanol
Aortography,iohexol
Auditory Processing Disorder,dexmethylphenidate
"Aphthous Stomatitis, Recurrent",colchicine
"Aphthous Stomatitis, Recurrent",hydrocortisone
Aphthous Ulcer,triamcinolone
Aphthous Ulcer,dexamethasone
Aphthous Ulcer,benzocaine
Aplastic Anemia,filgrastim
Aplastic Anemia,sargramostim
Aplastic Anemia,"lymphocyte immune globulin, anti-thy (equine)"
Aplastic Anemia,eltrombopag
Apnea of Prematurity,theophylline
Apnea of Prematurity,caffeine
Appendectomy,piperacillin / tazobactam
Appendicitis,piperacillin / tazobactam
Occipital Neuralgia,gabapentin
Occipital Neuralgia,carbamazepine
Occipital Neuralgia,citalopram
Occipital Neuralgia,pregabalin
Arrhythmia,amiodarone
Arrhythmia,verapamil
Arrhythmia,propranolol
Arrhythmia,dofetilide
Arrhythmia,lidocaine
Arrhythmia,mexiletine
Arrhythmia,disopyramide
Arrhythmia,phenytoin
Arrhythmia,quinidine
Arrhythmia,procainamide
Arsenic Poisoning,dimercaprol
Atherosclerosis,rosuvastatin
Arteriosclerotic Dementia,ergoloid mesylates
Coronary Artery Disease,lisinopril
Coronary Artery Disease,amlodipine
Coronary Artery Disease,perindopril
Coronary Artery Disease,amlodipine / atorvastatin
Coronary Artery Disease,isoxsuprine
Coronary Artery Disease,rivaroxaban
Rheumatoid Arthritis,methotrexate
Rheumatoid Arthritis,prednisone
Rheumatoid Arthritis,meloxicam
Rheumatoid Arthritis,hydroxychloroquine
Rheumatoid Arthritis,sulfasalazine
Rheumatoid Arthritis,leflunomide
Rheumatoid Arthritis,diclofenac
Rheumatoid Arthritis,naproxen
Rheumatoid Arthritis,celecoxib
Rheumatoid Arthritis,acetaminophen / hydrocodone
Rheumatoid Arthritis,ibuprofen
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin / glucosamine
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Reiter's Syndrome,adalimumab
Arthrography,iohexol
Pulmonary Fibrosis,mycophenolate mofetil
Pulmonary Fibrosis,infliximab
Ascariasis,albendazole
Ascariasis,mebendazole
Ascariasis,pyrantel
Ascariasis,ivermectin
Ascariasis,nitazoxanide
Ascites,furosemide
Ascites,hydrochlorothiazide / spironolactone
Ascites,torsemide
Ascites,amiloride
Ascites,bumetanide
Ascites,triamterene
Ascites,ethacrynic acid
Aseptic Necrosis,ibuprofen
Aseptic Necrosis,alendronate
Aseptic Necrosis,diclofenac
Aseptic Necrosis,aspirin
Aseptic Necrosis,naproxen
Asperger Syndrome,risperidone
Asperger Syndrome,olanzapine
Asperger Syndrome,lisdexamfetamine
"Aspergillosis, Aspergilloma",itraconazole
"Aspergillosis, Aspergilloma",amphotericin b
"Aspergillosis, Aspergilloma",amphotericin b lipid complex
"Aspergillosis, Invasive",voriconazole
"Aspergillosis, Invasive",posaconazole
"Aspergillosis, Invasive",itraconazole
"Aspergillosis, Invasive",amphotericin b
"Aspergillosis, Invasive",caspofungin
"Aspergillosis, Invasive",amphotericin b liposomal
"Aspergillosis, Invasive",isavuconazonium
"Aspergillosis, Invasive",amphotericin b lipid complex
Asthma,montelukast
Asthma,prednisone
Asthma,ipratropium
Asthma,flunisolide
Asthma,formoterol / mometasone
Asthma,triamcinolone
Asthma,fluticasone / vilanterol
Asthma,ciclesonide
"Asthma, acute",albuterol
"Asthma, acute",prednisolone
"Asthma, acute",methylprednisolone
"Asthma, acute",epinephrine
"Asthma, acute",hydrocortisone
"Asthma, acute",theophylline
"Asthma, acute",dexamethasone
"Asthma, acute",levalbuterol
"Asthma, acute",terbutaline
"Asthma, Maintenance",albuterol
"Asthma, Maintenance",montelukast
"Asthma, Maintenance",fluticasone
"Asthma, Maintenance",fluticasone / salmeterol
"Asthma, Maintenance",budesonide
"Asthma, Maintenance",budesonide / formoterol
"Asthma, Maintenance",theophylline
"Asthma, Maintenance",beclomethasone
Asystole,epinephrine
Asystole,vasopressin
Asystole,sodium bicarbonate
Asystole,calcium chloride
Tinea Pedis,clotrimazole
Tinea Pedis,ketoconazole
Tinea Pedis,terbinafine
Tinea Pedis,econazole
Tinea Pedis,betamethasone / clotrimazole
Tinea Pedis,tolnaftate
Tinea Pedis,ciclopirox
Tinea Pedis,miconazole
Tinea Pedis,griseofulvin
Eczema,triamcinolone
Eczema,mometasone
Eczema,hydrocortisone
Eczema,clobetasol
Eczema,desonide
Eczema,prednisone
Eczema,fluocinonide
Eczema,ranitidine
Eczema,desoximetasone
Eczema,methotrexate
Eczema,halobetasol
Eczema,pimecrolimus
Eczema,dexamethasone
Eczema,fluocinolone
Eczema,alclometasone
Eczema,azathioprine
Atrial Flutter,diltiazem
Atrial Flutter,flecainide
Atrial Flutter,sotalol
Atrial Flutter,propafenone
Atrial Flutter,dronedarone
Atrial Flutter,esmolol
Atrial Flutter,ibutilide
Atrial Tachycardia,verapamil
Atrial Tachycardia,adenosine
Atrophic Urethritis,estradiol
Atrophic Urethritis,conjugated estrogens
Atrophic Urethritis,estradiol / norethindrone
Atrophic Vaginitis,estradiol
Atrophic Vaginitis,conjugated estrogens
Autism,risperidone
Autism,aripiprazole
Autism,venlafaxine
Autism,ziprasidone
Autism,memantine
Autism,paliperidone
Autism,bumetanide
Autoimmune Hemolytic Anemia,prednisone
Autoimmune Hepatitis,azathioprine
Autoimmune Hepatitis,budesonide
Autoimmune Hepatitis,mercaptopurine
Autoimmune Hepatitis,mycophenolate mofetil
Autoimmune Neutropenia,immune globulin intravenous
AV Heart Block,atropine
AV Heart Block,epinephrine
AV Heart Block,isoproterenol
Avian Influenza,oseltamivir
Avian Influenza,"influenza virus vaccine, h5n1"
B Cell Lymphoma,tisagenlecleucel
